"MesZL","ŠL/HA","aBZL","HethZL","Sign Name","Unicode Glyph","Unicode Name","Comments "
270,146,218,"219","ḪAŠḪUR (MA-gunû)","U+12222 𒈢","MA GUNU","  "
12,3,12,"22","MUG","U+1222E 𒈮","MUG","  "
555,345,216,"220","GÚG (LÙ; ŠÈ-gunû)","U+12216 𒈖","LU3","  "
,,,"221","Equivalent to #220 DMS so using var sel","U+12216 𒈖 & U+FE01",,
,,,"222","MIR (NIMGIR) DMS","U+12087 𒂇","DUN3 GUNU GUNU ",
836,595,"TÙN:401a, GÍN:401b","223","GÍN (TÙN)","U+12085 𒂅","DUN3","  "
760,486,405,"224","GIGIR (LAGAB×BAD)","U+121C0 𒇀","LAGAB TIMES BAD","  "
,,195,"225",,"U+12046 𒁆","BALAG ",
573,358,199,"226","ALAM (GU4overGU4.NA)","U+12029 𒀩","ALAN","  "
106,"063d",58,"227","KÍD (TAG4)","U+122FA 𒋺","TAK4","  "
435,249,161,"228","KISAL","U+121A6 𒆦","KISAL","  "
71,38,181,"229","URU (IRI)","U+12337 𒌷","URU","ERI, IRI, RE2, RI2, U19 "
203,"122b",54,"23","ÙZ (""MÁ.KASKAL"")","U+1235A 𒍚","UZ3","  "
17,8,306,"230","ŠEN (SU×A)","U+122BF 𒊿","SHEN","  "
485,314,"212; 207a","231","ŠID (LAG)","U+122C3 𒋃","SHID","  "
,,,"232","LAḪTA DMS","U+12274","NUNUZ AB2 TIMES LA",
511,328,192,"233","RA","U+1228F 𒊏","RA","  "
,,,"233L","RA+AN ligature DMS PUA","U+F002",,
,,,"233L2","RA+A ligature DMS PUA","U+F003",,
507,326,214,"234","GI4 (GI-gunû)","U+12104 𒄄","GI4","  "
554,344,217,"235","BÁRA","U+12048 𒁈","BARA2","cultic/political place. However, if the pattern is ""ME fit for Official A"", it would mean ""ruler"". ruler   "
,,,"236","LAḪ₄ DMS","U+1207B","DU OVER DU",
255,144,393,"237","TUR (DUMU)","U+12309 𒌉","TUR","  "
540,332,206,"238","ZAG","U+12360 𒍠","ZAG","  "
564,351,198,"239","SIG7 (IGI-gunû)","U+1214A 𒅊","IGI GUNU","""10,000"" "
132,78,34,"24","ḪU","U+12137 𒄷","HU","  "
,,,"24L","ḪU+U DMS PUA","U+F006",,
543,333,209,"240","GÀR (QAR)","U+120FC 𒃼","GAR3","  "
548,339,211,"241","ÁŠ (ZÍZ) ","U+1203E 𒀾 ","ASH2 ","  "
553,343,213,"242","GAL","U+120F2 𒃲","GAL","  "
438,280,168,"243","DAG (PÀR)","U+12056 𒁖","DAG","  "
558,346,222,"244","GIR (ḪA-gunû)","U+1212B 𒄫","HA GUNU","  "
559,349,223,"245","BUR (NÍG-gunû)","U+12053 𒁓","BUR","  "
574,"359n1",224,"246","URI (BURoverBUR)","U+12335 𒌵","URI","  "
576,362,359,"247","GAM ","U+120F5 𒃵 ","GAM ","  "
592,"377n1"," ","248",":(division sign)","U+12471 𒑱","PUNCTUATION SIGN VERTICAL COLON","Glossenkeil "
,,,"248*B","DMS","U+12472 𒑲","PUNCTUATION SIGN DIAGONAL COLON ",
589,376,289,"249","TE","U+122FC 𒋼","TE","TEMEN, TEN, MUL2, TEĜ3 "
,,,"25","U5 = ḪU+SI DMS","U+12137 & U+122DB",,
590,"376x",290,"250","KAR (TE.A)","U+122FC 𒋼 & U+12000 𒀀","TE & A","  "
869,545,422,"251","ŠÚ","U+122D9 𒋙","SHU2","  "
,,,"251L","ŠÚ+A ligature DMS PUA","U+F004",,
,,,"252","ḪÚL?+KUN DMS","U+1213E & U+121B2","HUL2 + KUN",
124,"074_238","030(IDIGNA) 087(DALLA)","253","IDIGNA (DALLA/MAŠ.GÚ.GÀR)","U+12226 𒈦 & U+12118 𒄘 & U+120FC 𒃼","MAŠ & GU2 & GAR3","  "
877,550,425,"254","ḪÚL","U+1213E 𒄾","HUL2","  "
881,592,437,"255","SIG","U+122DD 𒋝","SIG","  "
92,60,249,"256","PAB or PAP","U+1227D 𒉽","PAP","  "
93,"060+002"," ","256B","PÚŠ (PAB.ḪAL)","U+1227D 𒉽 & U+1212C 𒄬","PAP & HAL","  "
94,"060+060",264,"257","BÙLUG","U+1227D 𒉽 & U+1227D 𒉽","PAP & PAP","  "
105,67,250,"258","GIL (GIoverGI parall. or crossing)","U+12103 𒄃","GI CROSSING GI","  "
